Date,Open,High,Low,Close,Adj Close,Volume,SMA20,Signal,Position,Daily_Return,Position_Holding,Entry_Price,Strategy_Return,Cumulative_Strategy_Return
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.56892395019531,102223600,43.064998626708984,0,,,,,0.0,0.0
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.56186294555664,118071600,43.061248779296875,0,0.0,-0.00017414826572337283,0.0,,0.0,0.0
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,40.75026321411133,89738400,43.12666575113932,0,0.0,0.004644969352628925,0.0,,0.0,0.0
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.2142333984375,94640000,43.28249931335449,0,0.0,0.01138531604115589,0.0,,0.0,0.0
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.06114196777344,82271200,43.343499755859376,0,0.0,-0.0037142508370535676,0.0,,0.0,0.0
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.056434631347656,86336000,43.38333320617676,0,0.0,-0.0001147362877008673,0.0,,0.0,0.0
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.04701614379883,95839600,43.41035679408482,0,0.0,-0.00022949890725432187,0.0,,0.0,0.0
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.28017807006836,74670800,43.461562156677246,0,0.0,0.00568021992828216,0.0,,0.0,0.0
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.70643997192383,101672400,43.551666259765625,0,0.0,0.01032632115015475,0.0,,0.0,0.0
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.494483947753906,118263600,43.60124969482422,0,0.0,-0.0050821272522202365,0.0,,0.0,0.0
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.1798210144043,137547200,43.70795440673828,0,0.0,0.01651628141089967,0.0,,0.0,0.0
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.217498779296875,124773600,43.80020809173584,0,0.0,0.0008932908870358247,0.0,,0.0,0.0
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.02910232543945,129700400,43.862884521484375,0,0.0,-0.0044627235160282774,0.0,,0.0,0.0
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.68524169921875,108434400,43.89053562709263,0,0.0,-0.008181142322873924,0.0,,0.0,0.0
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.69466781616211,130756400,43.91516647338867,0,0.0,0.0002259507691120266,0.0,,0.0,0.0
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.03053283691406,204420400,43.892656087875366,0,0.0,-0.015928559491481753,0.0,,0.0,0.0
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.29810333251953,166116000,43.82705867991728,0,0.0,-0.017850996375621597,0.0,,0.0,0.0
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.392303466796875,156572000,43.77430534362793,0,0.0,0.002337641838920046,0.0,,0.0,0.0
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.55622863769531,202561600,43.680394624408926,0,0.0,-0.020698431034159137,0.0,,0.0,0.0
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.323081970214844,184192800,43.583499908447266,0,0.0,-0.005894293007802864,0.0,,0.0,0.0
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.43141174316406,129915600,43.523124885559085,0,0.0,0.0027549347290840576,0.0,,0.0,0.0
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.51384735107422,188923200,43.46749992370606,0,0.0,0.0020904623951898404,0.0,,0.0,0.0
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,37.79933166503906,346375200,43.310874938964844,0,0.0,-0.043390146812870234,0.0,,0.0,0.0
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,36.854942321777344,290954000,43.07950000762939,0,0.0,-0.024984389450691147,0.0,,0.0,0.0
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.39516830444336,272975200,42.93799991607666,0,0.0,0.04179176341340529,0.0,,0.0,0.0
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,37.573246002197266,206434400,42.75312480926514,0,0.0,-0.021407136841659957,0.0,,0.0,0.0
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.53935623168945,217562000,42.51387481689453,0,0.0,-0.027516607586757447,0.0,,0.0,0.0
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,36.98628616333008,282690400,42.27799987792969,0,0.0,0.008121236320935088,0.0,,0.0,0.0
